model,elpd_loo,p_loo,looic,n_data,delta_looic,rank
mond,-7822.11584680611,403.0028347607375,15644.23169361222,1782,0.0,1
mond-screen,-8066.446898141237,526.810007403723,16132.893796282475,1782,488.66210267025417,2
ptq-screen,-8306.264271592194,660.8180642352642,16612.528543184388,1782,968.296849572167,3
