epsilon_RC,sigma_RC,epsilon_cos,omega_lambda,delta_epsilon,pass_within_1sigma,pass_within_2sigma,pass_within_3sigma,mode,notes
0.19207491786477116,0.014188499960915438,1.362770287738494,0.65,-1.1706953698737228,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19207491786477116,0.014188499960915438,1.393261092038472,0.6600000000000001,-1.2011861741737009,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19207491786477116,0.014188499960915438,1.4248870236980302,0.67,-1.232812105833259,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19207491786477116,0.014188499960915438,1.4577379737113252,0.68,-1.265663055846554,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19207491786477116,0.014188499960915438,1.4919136877222168,0.6900000000000001,-1.2998387698574456,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19207491786477116,0.014188499960915438,1.5275252316519465,0.7,-1.3354503137871754,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19207491786477116,0.014188499960915438,1.5646967316604727,0.71,-1.3726218137957016,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19207491786477116,0.014188499960915438,1.6035674514745462,0.72,-1.411492533609775,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19207491786477116,0.014188499960915438,1.644294287438749,0.73,-1.4522193695739778,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19207491786477116,0.014188499960915438,1.6870547845739468,0.74,-1.4949798667091756,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19207491786477116,0.014188499960915438,1.7320508075688772,0.75,-1.539975889704106,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
