model,waic,delta_waic,p_waic,n_data,cov_mode,unit
ptq-screen,15279.057241476035,0.0,319.6909404733884,1782,diag,per_point
ptq-screen,13905.353007642718,0.0,194.53179060686708,91,full,per_gal
