r_bin,radius_min_kpc,radius_max_kpc,pwaic_contribution,n_points
1,0.08,1.99,43.02947545504558,344
2,2.0,4.99,48.73316718630312,367
3,5.01,9.99,74.90743936006518,428
4,10.04,19.97,50.589984673161766,331
5,20.05,49.99,43.78452918011999,260
6,50.24,108.31,7.564996619834549,52
