model,waic,delta_waic,p_waic,n_data,cov_mode,unit
mond,15081.2909527071,0.0,260.695227962251,1782,diag,per_point
ptq-nu,15102.820189998489,21.5292372913882,271.412666112872,1782,diag,per_point
mond-screen,15304.672518892607,223.38156618550602,319.19883222959146,1782,diag,per_point
ptq-screen,15318.06340446955,236.77245176245015,319.67693704262433,1782,diag,per_point
mond,13833.522975844751,0.0,162.89116027142546,91,full,per_gal
ptq-nu,13877.12913154981,43.60615570505797,183.37615699322518,91,full,per_gal
ptq-screen,13963.148743576325,129.62576773157343,217.29875646563042,91,full,per_gal
mond-screen,13969.266099431863,135.74312358711177,214.91946275709174,91,full,per_gal
