model,lppd,p_waic,waic,delta_lppd_vs_best,delta_pwaic_vs_best,delta_waic_vs_best
mond,-7279.950248391299,260.695227962251,15081.2909527071,0.0,0.0,0.0
ptq-nu,-7279.997428886372,271.412666112872,15102.820189998489,-0.04718049507300748,10.717438150620978,21.5292372913882
mond-screen,-7333.137427216712,319.19883222959146,15304.672518892607,-53.18717882541296,58.50360426734045,223.38156618550602
ptq-screen,-7339.354765192151,319.67693704262433,15318.06340446955,-59.404516800851525,58.98170908037332,236.77245176245015
