model,waic,p_waic,n_params,n_data,delta_waic,cov_mode,unit
mond,13833.522975844751,162.89116027142546,93,91,0.0,full,per_gal
ptq-nu,13877.12913154981,183.37615699322518,93,91,43.60615570505797,full,per_gal
ptq-screen,13963.148743576325,217.29875646563042,94,91,129.62576773157343,full,per_gal
mond-screen,13969.266099431863,214.91946275709174,94,91,135.74312358711177,full,per_gal
