model,lppd,waic,p_waic,n_params,n_data,mean_loglik_per_point,mean_lppd_per_point,delta_waic,rank
mond,-7279.950248391299,15081.2909527071,260.695227962251,93,1782,-4.147924497055448,-4.085269499658417,0.0,1
ptq-nu,-7279.997428886372,15102.820189998489,271.412666112872,93,1782,-4.150629386554123,-4.085295975806045,21.5292372913882,2
mond-screen,-7333.137427216712,15304.672518892607,319.19883222959146,94,1782,-4.189892316620074,-4.11511640135618,223.38156618550602,3
ptq-screen,-7339.354765192151,15318.06340446955,319.67693704262433,94,1782,-4.194453761561248,-4.118605367672363,236.77245176245015,4
