log10_h,log10_kappa,log10_Sigma_tot,gkey
-0.7987831003084058,1.524570918827147,-1.4659453176128154,NGC0300
0.051387975201318915,1.713975649709463,-0.6318966420417869,NGC2841
-0.9677817259064991,1.8992881134932764,-0.9623875360379135,NGC2976
-0.11149652713314909,1.4720277589218722,-0.9823983401143446,NGC3726
-0.6344477652887504,1.7443963248971401,-0.6097425803587883,NGC3893
-0.8022937946583972,1.832603325794753,-0.46053187719145694,NGC3949
-0.08964868685310642,1.4956778695643596,-0.9512800045489461,NGC3953
0.16906488239359627,1.44384166978887,-0.8983419830283854,NGC3992
-0.21611657598022369,1.458906284253344,-0.9489805030022147,NGC4051
-1.1267584256843288,1.554376564014903,-1.6916799230805517,NGC4068
-0.5189679537304639,1.9769127403893847,-0.2264807791341638,NGC4138
-0.2048643663490346,1.9910560855701167,0.29874360841906,NGC5055
-0.7838277940079914,1.723171476354237,-1.0055688221491836,NGC7793
-0.06975431919389756,1.7989699606844172,-0.6027029145941252,NGC7814
-1.59688151776844,1.8699636667722355,-1.1054871377758997,UGC04483
-0.4797742457004506,1.4762076238618396,-1.3342954999473466,UGC06917
-0.5576373423585823,1.1891938174440186,-1.7667489146465223,UGC06930
-0.4248560595626717,1.7323010801869871,-0.6603062917657457,UGC06983
-1.1049499365751303,1.5042721496115679,-1.4808231890727832,UGC07559
