galaxy,r_kpc,x,y,Rd_kpc
CamB,0.16,0.2394557823129252,-0.0012316453137313156,0.6681818181818181
CamB,0.41,0.6136054421768707,-0.002879940242110431,0.6681818181818181
CamB,0.57,0.8530612244897959,-0.0028265237026360063,0.6681818181818181
CamB,0.73,1.0925170068027212,-0.0024077523380820216,0.6681818181818181
CamB,0.9,1.3469387755102042,-0.0015161815568058652,0.6681818181818181
CamB,1.06,1.5863945578231295,-0.0003101219618558138,0.6681818181818181
CamB,1.22,1.8258503401360546,0.0010564342948652158,0.6681818181818181
CamB,1.47,2.2,0.0023527116144145327,0.6681818181818181
CamB,1.79,2.678911564625851,0.0048114730141354265,0.6681818181818181
D564-8,0.51,0.7333333333333334,0.0026122880355412396,0.6954545454545454
D564-8,1.02,1.4666666666666668,0.005283556545370145,0.6954545454545454
D564-8,1.53,2.2,0.006783886020175892,0.6954545454545454
D564-8,2.04,2.9333333333333336,0.006472591431559547,0.6954545454545454
D564-8,2.56,3.681045751633987,0.006458743549981126,0.6954545454545454
D564-8,3.07,4.414379084967321,0.0059722373662733485,0.6954545454545454
D631-7,0.45,0.55,-0.0029682892476174984,0.8181818181818181
D631-7,0.9,1.1,0.0014273794007314841,0.8181818181818181
D631-7,1.35,1.6500000000000001,0.005612416207971678,0.8181818181818181
D631-7,1.8,2.2,0.007893990079074499,0.8181818181818181
D631-7,2.25,2.75,0.00972093374337511,0.8181818181818181
D631-7,2.69,3.287777777777778,0.011766668758585482,0.8181818181818181
D631-7,3.14,3.837777777777778,0.013468889344697369,0.8181818181818181
D631-7,3.59,4.387777777777778,0.01451946065604318,0.8181818181818181
D631-7,4.04,4.937777777777778,0.015598261775840635,0.8181818181818181
D631-7,4.49,5.4877777777777785,0.016521543673652172,0.8181818181818181
D631-7,4.94,6.037777777777778,0.017381107303818387,0.8181818181818181
D631-7,5.39,6.587777777777778,0.0173688854180291,0.8181818181818181
D631-7,5.84,7.137777777777778,0.017384622425635515,0.8181818181818181
D631-7,6.29,7.687777777777779,0.01634584100774363,0.8181818181818181
D631-7,6.74,8.23777777777778,0.014913460488357514,0.8181818181818181
D631-7,7.19,8.787777777777778,0.013874180818631688,0.8181818181818181
DDO154,0.49,1.088888888888889,0.008511577114012901,0.44999999999999996
DDO154,0.99,2.2,0.011476086883506638,0.44999999999999996
DDO154,1.48,3.288888888888889,0.014987943857190412,0.44999999999999996
DDO154,1.97,4.377777777777778,0.016284265559537738,0.44999999999999996
DDO154,2.47,5.48888888888889,0.016426333097440137,0.44999999999999996
DDO154,2.96,6.577777777777778,0.01674754807479042,0.44999999999999996
DDO154,3.46,7.68888888888889,0.016104566413897535,0.44999999999999996
DDO154,3.95,8.777777777777779,0.015358691905076301,0.44999999999999996
DDO154,4.44,9.866666666666669,0.014579647454375516,0.44999999999999996
DDO154,4.94,10.97777777777778,0.013767587517371406,0.44999999999999996
DDO154,5.43,12.066666666666666,0.012194689705206804,0.44999999999999996
DDO154,5.92,13.155555555555557,0.010305033321489984,0.44999999999999996
DDO168,0.41,0.2733333333333334,0.006934729627593582,1.4999999999999998
DDO168,0.82,0.5466666666666667,0.005971514897193241,1.4999999999999998
