r_bin,radius_min_kpc,radius_max_kpc,pwaic_contribution,n_points
1,0.08,1.99,60.082557554749314,344
2,2.0,4.99,76.65972277316291,367
3,5.01,9.99,115.49682143032945,428
4,10.04,19.97,78.31530065721753,331
5,20.05,49.99,54.688701857049985,260
6,50.24,108.31,8.905161728150265,52
