galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.3573645521024602,,,22.86473799678071,2.858092249597589,-38.2265613432717
D564-8,6,0.6170881889497963,,,3.961513168623356,0.7923026337246711,-19.95019880250437
D631-7,16,0.4333570196482051,,,20.03515407815911,1.3356769385439407,-58.28980024264734
DDO154,12,0.3443694845089196,,,1.237882047835471,0.11253473162140647,-36.18398449450253
DDO168,10,0.502433854435415,,,6.160751196099933,0.6845279106777703,-33.30653373954148
ESO444-G084,7,0.6115011995505666,,,2.9653480298851336,0.49422467164752226,-23.66853159197533
ESO563-G021,30,0.7251939817310009,,,161.7098953899777,5.576203289309576,-183.5113591460191
F568-3,18,0.6035182499422698,,,10.127872865224246,0.5957572273661321,-67.52917765034579
F568-V1,15,0.7342322164218994,,,9.586507512770142,0.6847505366264387,-62.36643366644178
F574-1,14,0.6010064572384199,,,8.389975049202734,0.645382696092518,-48.76689727847119
IC2574,34,0.2346746147659039,,,10.277321959584631,0.3114339987752919,-109.73041873386123
IC4202,32,0.5409360231056983,,,226.01017888794883,7.290650931869317,-218.40977762448625
NGC0024,29,0.7925151949338158,,,24.27944404902284,0.8671230017508157,-108.17439120338898
NGC0055,21,0.2594407812177199,,,17.41719112372092,0.8708595561860459,-73.49742153314676
NGC0247,26,0.5125649981002934,,,5.794623408567963,0.23178493634271852,-85.21406055030624
NGC0300,25,0.422200973455507,,,4.868795610105915,0.2028664837544131,-85.21859114320426
NGC0801,13,0.4874544156990397,,,71.22340108840451,5.93528342403371,-77.21210510000245
NGC0891,18,0.39848340983984787,,,50.23665091794639,2.955097112820376,-81.3124920430286
NGC2403,73,0.4559259519497887,,,28.276619933130096,0.3927308324045847,-235.2457292823891
NGC2683,11,0.5060741054247722,,,10.372858991948554,1.0372858991948555,-42.737275014994786
NGC2841,50,0.7882516591246566,,,22.895221276527156,0.46724941380667667,-178.635919338829
NGC2915,30,0.6346148430517524,,,57.89607625225075,1.9964164224914052,-129.22686630438176
NGC2955,24,0.5811433211391236,,,58.980611337932814,2.564374405997079,-112.56989693817215
NGC2976,27,0.5057336799073477,,,5.838408476520545,0.2245541721738671,-86.53103634303889
NGC2998,13,0.5499941236166092,,,29.810459424348085,2.4842049520290073,-59.71050912834363
NGC3109,25,0.5559850191298203,,,9.530847079066108,0.3971186282944212,-80.49844615339622
