model,lppd,p_waic,waic,delta_lppd_vs_best,delta_pwaic_vs_best,delta_waic_vs_best
ptq-screen,-7316.0194141704205,329.8877424046253,15291.814313150091,0.0,0.0,0.0
mond,-7419.113012045373,394.1482660006594,15626.522556092064,-103.09359787495214,64.26052359603409,334.70824294197337
mond-screen,-7539.636890737514,503.20872708385826,16085.691235642744,-223.61747656709304,173.32098467923294,793.8769224926527
