model,waic,delta_waic,p_waic,n_data,cov_mode,unit
ptq-screen,15291.814313150091,0.0,329.8877424046253,1782,diag,per_point
mond,15626.522556092064,334.70824294197337,394.1482660006594,1782,diag,per_point
mond-screen,16085.691235642744,793.8769224926527,503.20872708385826,1782,diag,per_point
ptq-screen,13974.282987322711,0.0,233.85961824487885,91,full,per_gal
mond,14337.692697147135,363.40970982442377,352.1562379118396,91,full,per_gal
mond-screen,14558.418129696445,584.1351423737342,452.9845138180833,91,full,per_gal
