model,waic,p_waic,n_params,n_data,delta_waic,cov_mode,unit
ptq-screen,13974.282987322711,233.85961824487885,94,91,0.0,full,per_gal
mond,14337.692697147135,352.1562379118396,93,91,363.40970982442377,full,per_gal
mond-screen,14558.418129696445,452.9845138180833,94,91,584.1351423737342,full,per_gal
