model,lppd,waic,p_waic,n_params,n_data,mean_loglik_per_point,mean_lppd_per_point,delta_waic,rank
ptq-screen,-7316.0194141704205,15291.814313150091,329.8877424046253,94,1782,-4.182753813227904,-4.105510333428968,0.0,1
mond,-7419.113012045373,15626.522556092064,394.1482660006594,93,1782,-4.254289161070094,-4.163363081955877,334.70824294197337,2
mond-screen,-7539.636890737514,16085.691235642744,503.20872708385826,94,1782,-4.344322686189032,-4.2309971328493345,793.8769224926527,3
