r_bin,radius_min_kpc,radius_max_kpc,pwaic_contribution,n_points
1,0.08,1.99,46.129274971644364,344
2,2.0,4.99,50.404577104437045,367
3,5.01,9.99,76.36978841991393,428
4,10.04,19.97,50.57015821663212,331
5,20.05,49.99,44.66934487694263,260
6,50.24,108.31,7.396285717338392,52
