model,waic,p_waic,n_params,n_data,delta_waic,cov_mode,unit
mond,20143.42706903786,3039.4512412509575,93,91,0.0,full,per_gal
ptq-screen,27245.34537443277,6585.441576690159,94,91,7101.918305394909,full,per_gal
nfw1p,721727.9153158898,353185.6991894663,183,91,701584.4882468518,full,per_gal
baryon,1937556.328379949,952994.3219296569,92,91,1917412.9013109112,full,per_gal
