model,lppd,waic,p_waic,n_params,n_data,mean_loglik_per_point,mean_lppd_per_point,delta_waic,rank
mond,-8321.072063540862,20730.073256745472,2043.9645648318747,93,1782,-5.0724056372686634,-4.66951294250329,0.0,1
ptq-screen,-8298.176237492698,27142.17068920032,5272.909107107463,94,1782,-5.361082207188946,-4.656664555270875,6412.097432454848,2
nfw1p,-11564.193085250798,132596.70187227055,54734.15785088448,183,1782,-11.733264987709756,-6.489446175786082,111866.62861552509,3
baryon,-23036.49345944666,302556.9014590034,128241.95727005503,92,1782,-21.23205465188845,-12.927325173651326,281826.8282022579,4
