model,waic,delta_waic,p_waic,n_data,cov_mode,unit
mond,20730.073256745472,0.0,2043.9645648318747,1782,diag,per_point
ptq-screen,27142.17068920032,6412.097432454848,5272.909107107463,1782,diag,per_point
nfw1p,132596.70187227055,111866.62861552509,54734.15785088448,1782,diag,per_point
baryon,302556.9014590034,281826.8282022579,128241.95727005503,1782,diag,per_point
mond,20143.42706903786,0.0,3039.4512412509575,91,full,per_gal
ptq-screen,27245.34537443277,7101.918305394909,6585.441576690159,91,full,per_gal
nfw1p,721727.9153158898,701584.4882468518,353185.6991894663,91,full,per_gal
baryon,1937556.328379949,1917412.9013109112,952994.3219296569,91,full,per_gal
