model,lppd,p_waic,waic,delta_lppd_vs_best,delta_pwaic_vs_best,delta_waic_vs_best
mond,-8321.072063540862,2043.9645648318747,20730.073256745472,0.0,0.0,0.0
ptq-screen,-8298.176237492698,5272.909107107463,27142.17068920032,22.895826048163144,3228.944542275588,6412.097432454848
nfw1p,-11564.193085250798,54734.15785088448,132596.70187227055,-3243.121021709936,52690.19328605261,111866.62861552509
baryon,-23036.49345944666,128241.95727005503,302556.9014590034,-14715.4213959058,126197.99270522317,281826.8282022579
