model,waic,p_waic,n_params,n_data,delta_waic,cov_mode,unit
mond,13842.66071485547,164.98151166790777,93,91,0.0,full,per_gal
ptq-nu,13878.372623418361,178.6804011164663,93,91,35.71190856289104,full,per_gal
ptq-screen,13909.129187941287,195.96449377280476,94,91,66.4684730858171,full,per_gal
ptq,15142.717129161152,295.11657832222363,93,91,1300.0564143056818,full,per_gal
baryon,21259.736214952187,1344.49109393769,92,91,7417.0755000967165,full,per_gal
nfw1p,24897.93160898979,5482.321775091125,183,91,11055.27089413432,full,per_gal
