model,lppd,waic,p_waic,n_params,n_data,mean_loglik_per_point,mean_lppd_per_point,delta_waic,rank
ptq-nu,-7309.70352697291,15156.626238894882,268.60959247453013,93,1782,-4.1671801492739275,-4.101966064519029,0.0,1
ptq-screen,-7288.095250447171,15194.947266895233,309.3783830004463,94,1782,-4.163182981372621,-4.089840207882812,38.32102800035136,2
mond,-7321.591122912829,15207.906379357515,282.36206676592894,93,1782,-4.176133963971845,-4.1086369937782425,51.280140462633426,3
ptq,-7833.4575017139105,16045.282708807305,189.18385268974185,93,1782,-4.442664496259421,-4.39587963059142,888.6564699124228,4
baryon,-9699.501685787884,19615.353269457628,108.17494894093028,92,1782,-5.470117033917389,-5.443042472383773,4458.727030562746,5
nfw1p,-8766.046704699442,35982.88742212577,9225.397006363446,183,1782,-5.7753921797919565,-4.919218128338632,20826.26118323089,6
