r_bin,radius_min_kpc,radius_max_kpc,pwaic_contribution,n_points
1,0.08,1.99,458.1392332155874,344
2,2.0,4.99,988.5154745897167,367
3,5.01,9.99,1577.1794583144738,428
4,10.04,19.97,1104.5406863448627,331
5,20.05,49.99,1022.416892321578,260
6,50.24,108.31,122.11736232124463,52
