r_bin,radius_min_kpc,radius_max_kpc,pwaic_contribution,n_points
1,0.08,1.99,46.486041582896185,344
2,2.0,4.99,57.932985953082174,367
3,5.01,9.99,80.69167501683101,428
4,10.04,19.97,58.21692508000914,331
5,20.05,49.99,48.97196612924406,260
6,50.24,108.31,8.426591540437757,52
