r_bin,radius_min_kpc,radius_max_kpc,pwaic_contribution,n_points
1,0.08,1.99,46.73962638247167,344
2,2.0,4.99,53.011020609419155,367
3,5.01,9.99,69.96312653450902,428
4,10.04,19.97,47.227418238588676,331
5,20.05,49.99,40.132061135453924,260
6,50.24,108.31,6.866851745725215,52
