model,elpd_loo,p_loo,looic,n_data,delta_looic,rank
ptq-nu,-7553.15100308085,272.37809163352597,15106.3020061617,1782,0.0,1
mond-screen,-7586.888280920505,286.96846240502555,15173.77656184101,1782,67.47455567930956,2
ptq-screen,-7594.663036655189,301.53335125688056,15189.326073310378,1782,83.0240671486772,3
mond,-7610.1672281375095,305.33716905649595,15220.334456275019,1782,114.03245011331819,4
