model,waic,p_waic,n_params,n_data,delta_waic,cov_mode,unit
mond-screen,13824.66951858749,159.70212352740026,94,91,0.0,full,per_gal
ptq-screen,13915.452346252616,203.01950033547922,94,91,90.7828276651253,full,per_gal
mond,13922.566401771708,198.6577222859776,93,91,97.89688318421759,full,per_gal
ptq-nu,13933.424024170645,198.28194118488014,93,91,108.75450558315424,full,per_gal
