model,lppd,waic,p_waic,n_params,n_data,mean_loglik_per_point,mean_lppd_per_point,delta_waic,rank
ptq-nu,-7280.772911447325,15089.426032186986,263.94010464616764,93,1782,-4.148994036172471,-4.0857311512050085,0.0,1
mond-screen,-7299.919818515479,15157.071646856031,278.6160049125364,94,1782,-4.163854878664488,-4.096475767966037,67.64561466904524,2
ptq-screen,-7293.129685398307,15175.242752258715,294.49169073105077,94,1782,-4.1626137666803285,-4.092665367788051,85.81672007172892,3
mond,-7304.830059081012,15194.985153912037,292.6625178750062,93,1782,-4.168322618503973,-4.099231234052195,105.55912172505123,4
