model,waic,delta_waic,p_waic,n_data,cov_mode,unit
ptq-nu,15089.426032186986,0.0,263.94010464616764,1782,diag,per_point
mond-screen,15157.071646856031,67.64561466904524,278.6160049125364,1782,diag,per_point
ptq-screen,15175.242752258715,85.81672007172892,294.49169073105077,1782,diag,per_point
mond,15194.985153912037,105.55912172505123,292.6625178750062,1782,diag,per_point
mond-screen,13824.66951858749,0.0,159.70212352740026,91,full,per_gal
ptq-screen,13915.452346252616,90.7828276651253,203.01950033547922,91,full,per_gal
mond,13922.566401771708,97.89688318421759,198.6577222859776,91,full,per_gal
ptq-nu,13933.424024170645,108.75450558315424,198.28194118488014,91,full,per_gal
