model,lppd,p_waic,waic,delta_lppd_vs_best,delta_pwaic_vs_best,delta_waic_vs_best
ptq-nu,-7280.772911447325,263.94010464616764,15089.426032186986,0.0,0.0,0.0
mond-screen,-7299.919818515479,278.6160049125364,15157.071646856031,-19.146907068154178,14.675900266368785,67.64561466904524
ptq-screen,-7293.129685398307,294.49169073105077,15175.242752258715,-12.356773950981733,30.551586084883127,85.81672007172892
mond,-7304.830059081012,292.6625178750062,15194.985153912037,-24.057147633687237,28.722413228838548,105.55912172505123
