model,AIC_full,BIC_full
mond,13781.278301539565,14291.429021086426
mond-screen,13800.19545237389,14315.831663528781
ptq-screen,13776.337035844459,14291.97324699935
mond,15192.203817944654,15702.354537491514
baryon,53137.90120930417,53642.566437243
ptq-screen,15528.306557802107,16043.942768956998
nfw1p,26006.316927329895,27010.161891599524
