epsilon_RC,sigma_RC,epsilon_cos,omega_lambda,delta_epsilon,pass_within_1sigma,pass_within_2sigma,pass_within_3sigma,mode,notes
0.19549224634033818,0.025127667488614377,1.2,0.5901639344262295,-1.0045077536596618,False,False,False,epsilon_cos_scan,"epsilon_cos in [1.2, 1.8], n=13"
0.19549224634033818,0.025127667488614377,1.25,0.6097560975609756,-1.0545077536596619,False,False,False,epsilon_cos_scan,"epsilon_cos in [1.2, 1.8], n=13"
0.19549224634033818,0.025127667488614377,1.3,0.6282527881040892,-1.104507753659662,False,False,False,epsilon_cos_scan,"epsilon_cos in [1.2, 1.8], n=13"
0.19549224634033818,0.025127667488614377,1.35,0.645704162976085,-1.154507753659662,False,False,False,epsilon_cos_scan,"epsilon_cos in [1.2, 1.8], n=13"
0.19549224634033818,0.025127667488614377,1.4,0.6621621621621621,-1.2045077536596618,False,False,False,epsilon_cos_scan,"epsilon_cos in [1.2, 1.8], n=13"
0.19549224634033818,0.025127667488614377,1.45,0.67767929089444,-1.2545077536596618,False,False,False,epsilon_cos_scan,"epsilon_cos in [1.2, 1.8], n=13"
0.19549224634033818,0.025127667488614377,1.5,0.6923076923076923,-1.3045077536596619,False,False,False,epsilon_cos_scan,"epsilon_cos in [1.2, 1.8], n=13"
0.19549224634033818,0.025127667488614377,1.55,0.7060984570168993,-1.354507753659662,False,False,False,epsilon_cos_scan,"epsilon_cos in [1.2, 1.8], n=13"
0.19549224634033818,0.025127667488614377,1.6,0.7191011235955057,-1.404507753659662,False,False,False,epsilon_cos_scan,"epsilon_cos in [1.2, 1.8], n=13"
0.19549224634033818,0.025127667488614377,1.65,0.7313633310946944,-1.4545077536596618,False,False,False,epsilon_cos_scan,"epsilon_cos in [1.2, 1.8], n=13"
0.19549224634033818,0.025127667488614377,1.7000000000000002,0.7429305912596401,-1.504507753659662,False,False,False,epsilon_cos_scan,"epsilon_cos in [1.2, 1.8], n=13"
0.19549224634033818,0.025127667488614377,1.75,0.7538461538461538,-1.5545077536596619,False,False,False,epsilon_cos_scan,"epsilon_cos in [1.2, 1.8], n=13"
0.19549224634033818,0.025127667488614377,1.8,0.7641509433962265,-1.604507753659662,False,False,False,epsilon_cos_scan,"epsilon_cos in [1.2, 1.8], n=13"
