model,lppd,p_waic,waic,delta_lppd_vs_best,delta_pwaic_vs_best,delta_waic_vs_best
mond,-7419.113012045373,394.1482660006594,15626.522556092064,0.0,0.0,0.0
mond-screen,-7539.636890737514,503.20872708385826,16085.691235642744,-120.5238786921409,109.06046108319885,459.16867955067937
ptq-screen,-7645.446207356929,640.2639284040616,16571.420271521984,-226.33319531155666,246.1156624034022,944.8977154299191
