model,waic,delta_waic,p_waic,n_data,cov_mode,unit
mond,15626.522556092064,0.0,394.1482660006594,1782,diag,per_point
mond-screen,16085.691235642744,459.16867955067937,503.20872708385826,1782,diag,per_point
ptq-screen,16571.420271521984,944.8977154299191,640.2639284040616,1782,diag,per_point
mond,14337.692697147135,0.0,352.1562379118396,91,full,per_gal
mond-screen,14558.418129696445,220.72543254931043,452.9845138180833,91,full,per_gal
ptq-screen,15049.442981330027,711.7502841828918,681.8743561419932,91,full,per_gal
