model,waic,p_waic,n_params,n_data,delta_waic,cov_mode,unit
mond,14337.692697147135,352.1562379118396,93,91,0.0,full,per_gal
mond-screen,14558.418129696445,452.9845138180833,94,91,220.72543254931043,full,per_gal
ptq-screen,15049.442981330027,681.8743561419932,94,91,711.7502841828918,full,per_gal
