model,lppd,waic,p_waic,n_params,n_data,mean_loglik_per_point,mean_lppd_per_point,delta_waic,rank
mond,-7419.113012045373,15626.522556092064,394.1482660006594,93,1782,-4.254289161070094,-4.163363081955877,0.0,1
mond-screen,-7539.636890737514,16085.691235642744,503.20872708385826,94,1782,-4.344322686189032,-4.2309971328493345,459.16867955067937,2
ptq-screen,-7645.446207356929,16571.420271521984,640.2639284040616,94,1782,-4.430582371978038,-4.290373853735651,944.8977154299191,3
