r_bin,radius_min_kpc,radius_max_kpc,pwaic_contribution,n_points
1,0.08,1.99,243.6963614932089,344
2,2.0,4.99,401.3595931610759,367
3,5.01,9.99,637.4838907686548,428
4,10.04,19.97,421.59919561920236,331
5,20.05,49.99,296.857741163495,260
6,50.24,108.31,42.96778262623767,52
