model,n_seeds,AIC_full_mean,AIC_full_median,AIC_full_std,AIC_full_min,AIC_full_max,BIC_full_mean,BIC_full_median,BIC_full_std,BIC_full_min,BIC_full_max,waic_mean,waic_median,waic_std,waic_min,waic_max,looic_mean,looic_median,looic_std,looic_min,looic_max,best_count_by_AIC,best_count_by_BIC,best_count_by_WAIC,best_count_by_LOOIC
ptq-screen,3,13797.348924074195,13796.405787534379,19.745554691897688,13773.651022651193,13821.989962037014,14312.985135229086,14312.04199868927,19.745554691897688,14289.287233806084,14337.626173191906,15272.20570795416,15318.06340446955,68.5966243648433,15175.242752258717,15323.31096713421,15297.923944531818,15351.847646204522,76.79090235125382,15189.326073310378,15352.598114080556,0,0,0,0
mond,3,13773.077572160624,13770.99550288491,11.400313202536726,13760.273049665513,13787.964163931447,14283.228291707484,14281.146222431771,11.400313202536726,14270.423769212373,14298.114883478307,15134.330936555969,15126.716703048773,46.726689452843,15081.2909527071,15194.985153912035,15154.007435537196,15136.194250809716,48.54611386619856,15105.493599526852,15220.33445627502,1,1,2,2
mond-screen,3,13778.095759519807,13762.749052179299,25.456237123287732,13757.566472479142,13813.97175390098,14293.731970674698,14278.38526333419,25.456237123287732,14273.202683634034,14329.607965055871,15204.93400286175,15157.071646856031,70.54481479033907,15153.057842836612,15304.672518892608,15228.859969706045,15173.77656184101,79.86859171115933,15171.003479592282,15341.799867684846,2,2,1,1
