model,elpd_loo,p_loo,looic,n_data,delta_looic,rank
ptq-screen,-7662.457808344336,346.43839417391575,15324.915616688671,1782,0.0,1
mond,-7822.11584680611,403.0028347607375,15644.23169361222,1782,319.3160769235492,2
mond-screen,-8066.446898141237,526.810007403723,16132.893796282475,1782,807.9781795938034,3
