model,waic,delta_waic,p_waic,n_data,cov_mode,unit
mond,15201.862834621372,0.0,275.53942930690846,1782,diag,per_point
mond-screen,15261.181756599215,59.318921977843274,300.7261853025003,1782,diag,per_point
ptq-screen,15279.057241476035,77.19440685466361,319.6909404733884,1782,diag,per_point
mond,13870.80006666928,0.0,171.81035619516817,91,full,per_gal
ptq-screen,13905.353007642718,34.55294097343722,194.53179060686708,91,full,per_gal
mond-screen,13959.844854329638,89.04478766035754,218.40821413284246,91,full,per_gal
