model,lppd,p_waic,waic,delta_lppd_vs_best,delta_pwaic_vs_best,delta_waic_vs_best
mond,-7325.391988003777,275.53942930690846,15201.862834621372,0.0,0.0,0.0
mond-screen,-7329.864692997107,300.7261853025003,15261.181756599215,-4.472704993329899,25.186755995591852,59.318921977843274
ptq-screen,-7319.837680264629,319.6909404733884,15279.057241476035,5.5543077391484985,44.15151116647996,77.19440685466361
