model,lppd,waic,p_waic,n_params,n_data,mean_loglik_per_point,mean_lppd_per_point,delta_waic,rank
mond,-7325.391988003777,15201.862834621372,275.53942930690846,93,1782,-4.177170756615272,-4.110769914704701,0.0,1
mond-screen,-7329.864692997107,15261.181756599215,300.7261853025003,94,1782,-4.185477482992486,-4.113279850166727,59.318921977843274,2
ptq-screen,-7319.837680264629,15279.057241476035,319.6909404733884,94,1782,-4.183099662777008,-4.107653019228187,77.19440685466361,3
