model,waic,p_waic,n_params,n_data,delta_waic,cov_mode,unit
mond,13870.80006666928,171.81035619516817,93,91,0.0,full,per_gal
ptq-screen,13905.353007642718,194.53179060686708,94,91,34.55294097343722,full,per_gal
mond-screen,13959.844854329638,218.40821413284246,94,91,89.04478766035754,full,per_gal
