model,AIC_full,BIC_full
ptq-screen,13779.777844943397,14295.414056098289
mond,13768.725720445116,14278.876439991976
ptq-nu,13784.751851606536,14294.902571153396
nfw1p,14979.35439188747,15983.199356157098
ptq,14842.84633716012,15352.99705670698
baryon,19155.90991926776,19660.57514720659
