r_bin,radius_min_kpc,radius_max_kpc,pwaic_contribution,n_points
1,0.08,1.99,47.890624800719955,344
2,2.0,4.99,64.08772534946546,367
3,5.01,9.99,90.34222941351727,428
4,10.04,19.97,63.68834097186037,331
5,20.05,49.99,54.4458895746963,260
6,50.24,108.31,9.432932294365957,52
