model,elpd_loo,p_loo,looic,n_data,delta_looic,rank
mond,-7607.529667880615,282.13767987683644,15215.05933576123,1782,0.0,1
mond-screen,-7640.1734354293185,310.3087424322123,15280.346870858637,1782,65.28753509740636,2
ptq-screen,-7651.415104952808,331.5774246881779,15302.830209905616,1782,87.77087414438574,3
