gkey,galaxy_h,D_Mpc_h,h_arcsec,hz_e_hi_arcsec,hz_e_lo_arcsec,h_kpc,h_kpc_err_hi,h_kpc_err_lo,h_outlier_reason
NGC7731,NGC7731,36.8,3.012,9.035,0.602,0.5373747363828085,1.6119457978813663,0.10740358276973797,huge_err_hi
NGC7743,NGC7743,21.433,6.842,20.527,1.368,0.7109523477080454,2.1329609531428018,0.14214890553414297,huge_err_hi
PGC004143,PGC004143,25.972,4.683,14.049,0.937,0.5896631808595738,1.7689895425787214,0.11798300244830678,huge_err_hi
PGC007109,PGC007109,26.639,2.625,7.875,0.525,0.33901716238819,1.01705148716457,0.067803432477638,huge_err_hi
PGC042068,PGC042068,24.931,5.339,16.018,1.068,0.645318444719172,1.9360762029428162,0.12908786270089448,huge_err_hi
PGC053093,PGC053093,38.575,1.753,5.259,0.351,0.32784027828279155,0.9835208348483748,0.06564286233728456,huge_err_hi
PGC053415,PGC053415,33.5,4.7,14.099,0.94,0.7633384238722033,2.2898528591859986,0.15266768477444065,huge_err_hi
PGC1059326,PGC1059326,38.056,2.983,8.948,0.597,0.5503650546626913,1.6509106634668995,0.11014681114100792,huge_err_hi
PGC1063216,PGC1063216,37.917,3.103,9.31,0.621,0.5704140353428843,1.7114259326594432,0.11415633772089304,huge_err_hi
UGC04306,UGC04306,33.583,2.39,7.169,0.478,0.38912743315637655,1.167219484643541,0.07782548663127531,huge_err_hi
UGC05179,UGC05179,18.861,4.595,13.784,0.919,0.4201696603883354,1.2604175405425062,0.08403393207766709,huge_err_hi
UGC05403,UGC05403,28.917,1.856,5.567,0.371,0.26019902552541635,0.7804568831357721,0.05201176641698786,huge_err_hi
UGC05922,UGC05922,25.639,2.236,6.707,0.447,0.27793762393038085,0.833688570528204,0.05556266453348847,huge_err_hi
UGC06271,UGC06271,27.903,2.766,8.297,0.553,0.37417738346302093,1.1223968729546945,0.0748084212057305,huge_err_hi
UGC06512,UGC06512,25.972,2.855,8.566,0.571,0.35948929774804256,1.0785938089351077,0.0718978595496085,huge_err_hi
UGC06570,UGC06570,22.264,3.218,9.653,0.644,0.3473471117252079,1.0419333963590527,0.06951259787166994,huge_err_hi
UGC06900,UGC06900,5.9,5.529,16.587,1.106,0.15815140717038761,0.47445422151116284,0.03163600223014084,huge_err_hi
UGC06922,UGC06922,12.389,4.481,13.443,0.896,0.2691445906964342,0.8074337720893026,0.05381690543718033,huge_err_hi
UGC07129,UGC07129,22.875,2.409,7.226,0.482,0.26716057014035344,0.8013708093956804,0.05345429423314668,huge_err_hi
UGC07639,UGC07639,6.967,5.433,16.299,1.087,0.18351010108355756,0.5505303032506726,0.03671553099168545,huge_err_hi
UGC07824,UGC07824,17.042,4.132,12.395,0.826,0.34139356652849484,1.02409807771556,0.06824566455772912,huge_err_hi
UGC08155,UGC08155,40.611,6.17,18.511,1.234,1.214795869391317,3.6445844956730418,0.24295917387826338,huge_err_hi
