gkey,galaxy_h,D_Mpc_h,h_arcsec,hz_e_hi_arcsec,hz_e_lo_arcsec,h_kpc,h_kpc_err_hi,h_kpc_err_lo,h_outlier_reason
NGC1482,NGC1482,19.6,4.225,12.676,0.845,0.4014738322061425,1.204516520010666,0.08029476644122852,huge_err_hi
NGC1510,NGC1510,11.0,2.71,8.13,0.542,0.14452282258260005,0.4335684677478002,0.028904564516520015,huge_err_hi
NGC1512,NGC1512,12.286,11.413,34.238,2.283,0.679805677162873,2.0393574673357087,0.13598496109373864,huge_err_hi
NGC1533,NGC1533,18.38,5.988,17.965,1.198,0.533582721256636,1.6008372724407922,0.106752187719681,huge_err_hi
NGC1553,NGC1553,15.082,15.468,46.405,3.094,1.1310129008799361,3.3931118221705088,0.22623182798826752,huge_err_hi
NGC1640,NGC1640,19.1,4.887,14.661,0.977,0.4525329066976947,1.3575987200930841,0.0904695416090951,huge_err_hi
NGC2460,NGC2460,31.9,5.831,17.493,1.166,0.9017957481880107,2.7053872445640317,0.18032821855380213,huge_err_hi
NGC2551,NGC2551,34.1,3.508,10.523,0.702,0.5799471553583982,1.7396761447652294,0.11605555959566577,huge_err_hi
NGC2655,NGC2655,24.4,8.035,24.104,1.607,0.9504957215232831,2.8513688701427773,0.19009914430465663,huge_err_hi
NGC2681,NGC2681,15.25,7.165,21.496,1.433,0.529737231231668,1.589285627711924,0.10594744624633361,huge_err_hi
NGC2685,NGC2685,13.475,6.55,19.65,1.31,0.4279022131723753,1.283706639517126,0.08558044263447506,huge_err_hi
NGC2780,NGC2780,55.55,2.396,7.188,0.479,0.6452757375221196,1.935827212566359,0.12900128475504813,huge_err_hi
NGC2787,NGC2787,10.24,7.009,21.028,1.402,0.34796092405400825,1.0439324170363367,0.06960211378566407,huge_err_hi
NGC2798,NGC2798,25.66,4.137,12.41,0.827,0.5146555159624754,1.5438421448137105,0.10288134196300874,huge_err_hi
NGC2841,NGC2841,16.778,13.838,41.515,2.768,1.1256100841150947,3.3769115943082926,0.22515455360822242,huge_err_hi
NGC2844,NGC2844,37.88,4.254,12.761,0.851,0.7812354010617409,2.343522555935326,0.1562838096623276,huge_err_hi
NGC2859,NGC2859,27.333,14.698,44.095,2.94,1.947690757035852,5.843204785106538,0.38959115700676317,huge_err_hi
NGC2893,NGC2893,26.8,2.305,6.914,0.461,0.2994885220468814,0.8983356361961553,0.059897704409376286,huge_err_hi
NGC2962,NGC2962,33.893,6.845,20.534,1.369,1.1247549753957287,3.3741006084405982,0.22495099507914576,huge_err_hi
NGC2966,NGC2966,25.85,5.08,15.239,1.016,0.6366470317310257,1.9098157709742323,0.12732940634620513,huge_err_hi
NGC2968,NGC2968,13.89,7.282,21.845,1.456,0.4903739364409861,1.471054468765908,0.09804785106537706,huge_err_hi
NGC2974,NGC2974,24.73,8.379,25.137,1.676,1.0045944294960367,3.0137832884881104,0.2009428647613507,huge_err_hi
NGC3031,NGC3031,3.692,37.718,113.153,7.544,0.6751259593241705,2.0253599786682184,0.1350323515865513,huge_err_hi
NGC3032,NGC3032,22.86,3.203,9.609,0.641,0.35498305577776157,1.0649491673332847,0.07104094247691077,huge_err_hi
