r_bin,radius_min_kpc,radius_max_kpc,pwaic_contribution,n_points
1,0.08,1.99,57.96052534940829,344
2,2.0,4.99,61.267976443872385,367
3,5.01,9.99,80.97984564865625,428
4,10.04,19.97,59.14690781419961,331
5,20.05,49.99,51.47134804284334,260
6,50.24,108.31,8.864337174408563,52
