model,waic,delta_waic,p_waic,n_data,cov_mode,unit
mond-screen,15261.181756599215,0.0,300.7261853025003,1782,diag,per_point
mond-screen,13959.844854329638,0.0,218.40821413284246,91,full,per_gal
