model,waic,delta_waic,p_waic,n_data,cov_mode,unit
ptq-screen,27142.17068920032,0.0,5272.909107107463,1782,diag,per_point
ptq-screen,27245.34537443277,0.0,6585.441576690159,91,full,per_gal
