epsilon_RC,sigma_RC,epsilon_cos,omega_lambda,delta_epsilon,pass_within_1sigma,pass_within_2sigma,pass_within_3sigma,mode,notes
0.19549224634033818,0.025127667488614377,1.362770287738494,0.65,-1.1672780413981558,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19549224634033818,0.025127667488614377,1.393261092038472,0.6600000000000001,-1.197768845698134,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19549224634033818,0.025127667488614377,1.4248870236980302,0.67,-1.229394777357692,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19549224634033818,0.025127667488614377,1.4577379737113252,0.68,-1.262245727370987,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19549224634033818,0.025127667488614377,1.4919136877222168,0.6900000000000001,-1.2964214413818786,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19549224634033818,0.025127667488614377,1.5275252316519465,0.7,-1.3320329853116084,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19549224634033818,0.025127667488614377,1.5646967316604727,0.71,-1.3692044853201346,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19549224634033818,0.025127667488614377,1.6035674514745462,0.72,-1.408075205134208,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19549224634033818,0.025127667488614377,1.644294287438749,0.73,-1.4488020410984108,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19549224634033818,0.025127667488614377,1.6870547845739468,0.74,-1.4915625382336086,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.19549224634033818,0.025127667488614377,1.7320508075688772,0.75,-1.536558561228539,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
