model,lppd,p_waic,waic,delta_lppd_vs_best,delta_pwaic_vs_best,delta_waic_vs_best
ptq-nu,-7265.295537012127,263.3997422312779,15057.39055848681,0.0,0.0,0.0
mond,-7302.428462935291,260.92988858909547,15126.716703048773,-37.132925923163384,-2.469853642182443,69.32614456196279
mond-screen,-7292.490258005137,284.0386634131702,15153.057842836613,-27.19472099300947,20.63892118189227,95.6672843498036
ptq-screen,-7355.3575331881875,306.29795037891705,15323.31096713421,-90.06199617606035,42.89820814763914,265.9204086474001
