model,waic,delta_waic,p_waic,n_data,cov_mode,unit
ptq-nu,15057.39055848681,0.0,263.3997422312779,1782,diag,per_point
mond,15126.716703048773,69.32614456196279,260.92988858909547,1782,diag,per_point
mond-screen,15153.057842836613,95.6672843498036,284.0386634131702,1782,diag,per_point
ptq-screen,15323.31096713421,265.9204086474001,306.29795037891705,1782,diag,per_point
mond,13834.126802609533,0.0,156.06870665920667,91,full,per_gal
mond-screen,13848.91215449362,14.785351884087504,170.32712354606616,91,full,per_gal
ptq-nu,13855.012996490921,20.886193881387953,170.90205004371882,91,full,per_gal
ptq-screen,13962.039652422729,127.91284981319586,205.11515101283308,91,full,per_gal
