model,lppd,waic,p_waic,n_params,n_data,mean_loglik_per_point,mean_lppd_per_point,delta_waic,rank
ptq-nu,-7265.295537012127,15057.39055848681,263.3997422312779,93,1782,-4.1404894310688745,-4.077045755899062,0.0,1
mond,-7302.428462935291,15126.716703048773,260.92988858909547,93,1782,-4.161301043162442,-4.097883537000724,69.32614456196279,2
mond-screen,-7292.490258005137,15153.057842836613,284.0386634131702,94,1782,-4.159803316556204,-4.092306542090425,95.6672843498036,3
ptq-screen,-7355.3575331881875,15323.31096713421,306.29795037891705,94,1782,-4.200633880372404,-4.127585596626368,265.9204086474001,4
