model,waic,p_waic,n_params,n_data,delta_waic,cov_mode,unit
mond,13834.126802609533,156.06870665920667,93,91,0.0,full,per_gal
mond-screen,13848.91215449362,170.32712354606616,94,91,14.785351884087504,full,per_gal
ptq-nu,13855.012996490921,170.90205004371882,93,91,20.886193881387953,full,per_gal
ptq-screen,13962.039652422729,205.11515101283308,94,91,127.91284981319586,full,per_gal
