model,elpd_loo,p_loo,looic,n_data,delta_looic,rank
mond,-7552.746799763427,272.796551372126,15105.493599526853,1782,0.0,1
ptq-nu,-7566.092439911493,286.09501102512013,15132.184879822986,1782,26.69128029613239,2
mond-screen,-7670.899933842423,337.76250662570936,15341.799867684846,1782,236.30626815799224,3
ptq-screen,-7676.299057040278,336.9442918481255,15352.598114080556,1782,247.10451455370276,4
