epsilon_RC,sigma_RC,epsilon_cos,omega_lambda,delta_epsilon,pass_within_1sigma,pass_within_2sigma,pass_within_3sigma,mode,notes
0.15514831461431441,0.0050366526510802895,1.362770287738494,0.65,-1.2076219731241795,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.15514831461431441,0.0050366526510802895,1.393261092038472,0.6600000000000001,-1.2381127774241576,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.15514831461431441,0.0050366526510802895,1.4248870236980302,0.67,-1.2697387090837158,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.15514831461431441,0.0050366526510802895,1.4577379737113252,0.68,-1.3025896590970107,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.15514831461431441,0.0050366526510802895,1.4919136877222168,0.6900000000000001,-1.3367653731079023,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.15514831461431441,0.0050366526510802895,1.5275252316519465,0.7,-1.372376917037632,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.15514831461431441,0.0050366526510802895,1.5646967316604727,0.71,-1.4095484170461583,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.15514831461431441,0.0050366526510802895,1.6035674514745462,0.72,-1.4484191368602317,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.15514831461431441,0.0050366526510802895,1.644294287438749,0.73,-1.4891459728244345,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.15514831461431441,0.0050366526510802895,1.6870547845739468,0.74,-1.5319064699596323,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
0.15514831461431441,0.0050366526510802895,1.7320508075688772,0.75,-1.5769024929545628,False,False,False,omega_lambda_scan,"omega_lambda in [0.65, 0.75], n=11"
