galaxy,n,Upsilon_med,Upsilon_bulge_med,log10_M200_med,chi2,chi2_red,loglike
CamB,9,0.4548744968763696,,,44.94503981697335,5.618129977121669,-44.49463718556533
D564-8,6,0.4903890816623288,,,3.2949778655902513,0.6589955731180502,-16.555507437567147
D631-7,16,0.4757252136391213,,,45.81395653955894,3.054263769303929,-63.58118152019657
DDO154,12,0.47995373085452575,,,4.913952690750472,0.44672297188640653,-31.309870703483398
DDO168,10,0.47654522793960086,,,13.839013891394528,1.5376682101549475,-32.26738647941237
