model,waic,delta_waic,p_waic,elpd_loo,p_loo,looic,delta_looic,waic_rank,loo_rank,n_data
ptq-screen,15194.947266895231,38.32102800035136,309.3783830004463,-7606.837329620804,318.74207917363174,15213.674659241608,41.49277863590942,2,2,1782
mond,15207.906379357515,51.28014046263343,282.36206676592894,-7610.250340281757,288.6592173689263,15220.500680563517,48.318799957816736,3,3,1782
ptq-nu,15156.626238894882,0.0,268.60959247453013,-7586.090940302849,276.38741332993754,15172.181880605698,0.0,1,1,1782
nfw1p,35982.88742212577,20826.26118323089,9225.397006363446,-15639.524689584894,6873.477984885451,31279.049379169788,16106.86749856409,6,6,1782
ptq,16045.282708807305,888.6564699124228,189.18385268974183,-8027.749042500895,194.2915407869825,16055.49808500179,883.316204396091,4,4,1782
baryon,19615.353269457628,4458.727030562746,108.17494894093028,-9808.57594299412,109.07425720623591,19617.15188598824,4444.970005382544,5,5,1782
