model,chi2_total,AIC_full,BIC_full,k_parameters,epsilon_median,q_median,a0_median,steps,nwalkers,burn_in,resumed
mond,1965.8785941451135,13768.725720445116,14278.876439991976,93,,,1.0344648358920195e-10,12000,192,4000,False
ptq-nu,1954.6142081465282,13784.751851606536,14294.902571153396,93,0.15514831461431441,,,12000,192,4000,False
ptq-screen,1980.325209929324,13779.777844943397,14295.414056098289,94,0.20185898132001753,0.9249334859969276,,12000,192,4000,False
ptq,2013.3970193492505,14842.84633716012,15352.99705670698,93,0.03745763872555748,,,12000,192,4000,False
nfw1p,3896.905617405605,14979.35439188747,15983.199356157098,183,,,,12000,384,4000,False
baryon,2315.7644953830127,19155.90991926776,19660.57514720659,92,,,,12000,192,4000,False
